id,address,categories,city,country,keys,latitude,longitude,name,postalCode,province
AVwd54QVByjofQCxthrH,1500 Mitchell Rd,"Ice Cream Parlors,Breakfast,Fast Food Restaurants,Take Out Restaurants,Fast Food,Restaurants,Frozen Yogurt Shops,Restaurant,Fast Food Restaurant,Coffeehouses,Salads,Hamburgers and Hot Dogs,Hamburgers,Sandwich Shops",Ceres,US,us/ca/ceres/1500mitchellrd/-1161002137,37.6088,-120.9384,McDonald's,95307,CA
AWiEAoN6a4HuVbedgGup,1420 Kansas Avenue,"Fast Food,Chicken,Restaurants",Modesto,US,us/ca/modesto/1420kansasavenue/106088,37.6457,-121.0298,KFC,95351,CA
AVzRTeXZFcQ3k02bBtEc,435 Canyon Del Rey Blvd,"Restaurant,Burger Joint,Breakfast,Fast Food Restaurant,Fast Food,Chicken,Hamburgers,Restaurants",Monterey,US,us/ca/monterey/435canyondelreyblvd/-230519289,36.5817,-121.829,Jack in the Box,93940,CA
AVwc6qkR_7pvs4fz0Vtb,2100 S 4th St,"Restaurant,Burger Joint,Breakfast,Fast Food,Chicken,Hamburgers,Restaurants",El Centro,US,us/ca/elcentro/2100s4thst/-230519289,32.775,-115.5526,Jack in the Box,92243,CA
AVwelRLRIN2L1WUf6TGW,1015 E Capitol Expy,"Carry-out food,Pizza Restaurants,Caterers,Restaurant delivery service,American restaurants,Fast Food,Fast Food Restaurants,Take Out Restaurants,Banquet Halls & Reception Facilities,Home delivery beer and beverages,Restaurants,Buffet Restaurants,Italian Restaurants,Restaurant Menus,Pizza,Restaurant,Pasta Restaurants,Family style restaurants,Pizza Place,Catering,Family Restaurants,Banquet facilities",San Jose,US,us/ca/sanjose/1015ecapitolexpy/330000776,37.299,-121.8235,Round Table Pizza,95121,CA
AVwc-8NVIN2L1WUfq_iz,16216 Crenshaw Blvd,"Carry-out food,Restaurant,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,American restaurants,Mexican restaurants,Fast Food,Restaurants,Tex-Mex",Gardena,US,us/ca/gardena/16216crenshawblvd/1550891556,33.8833,-118.3262,Del Taco,90249,CA
AVwcjTNkIN2L1WUfmN-M,9001 Stockdale Hwy,"Pizza,Carry-out food,Fast Food Restaurants,Pizza Place Downtown Bakersfield,Family Style Restaurants,Restaurants,Italian Restaurants",Bakersfield,US,us/ca/bakersfield/9001stockdalehwy/-909106947,35.3515,-119.1032,Sbarro,93311,CA
AVwc0Yls_7pvs4fzzSuN,9606 Weedpatch Hwy,"Hamburgers & Hot Dogs,Burger Joint,Breakfast,Fast Food Restaurant,Fast Food Restaurants,Fast Food,Chicken,Hamburgers and Hot Dogs,Hamburgers,Restaurants",Lamont,US,us/ca/lamont/9606weedpatchhwy/-230519289,35.2681,-118.915,Jack in the Box,93241,CA
AVwcpLNbByjofQCxglZl,1679 E Monte Vista Ave 108,"Caterers,Bars & Pubs,Taverns,Thai Restaurants,Fine Dining Restaurants,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Restaurants,Bars Clubs,Asian Restaurants,Bars & Clubs,Bars Pubs,Cocktail Lounges,Catering,Lounges,Bars",Vacaville,US,us/ca/vacaville/1679emontevistaave108/-1964414183,38.37,-121.9606,Spice Thai Kitchen & Bar,95688,CA
AV1eQqmT3-Khe5l_NA62,8491 Folsom Blvd,"Pizza,Restaurant,Pizza Restaurants,Caterers,Catering Companies,Mediterranean Restaurants,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Catering,Restaurants,Italian Restaurants",Sacramento,US,us/ca/sacramento/8491folsomblvd/408514816,38.5476,-121.391,Roma's Pizzeria,95826,CA
AWkq8aZVIxWefVJwINIY,2591 Lake Tahoe Boulevard,"American Restaurants,Soul Food Restaurants,Fast Food Restaurants,Take Out Restaurants,Barbecue Restaurants,Hamburgers and Hot Dogs,Restaurants",South Lake Tahoe,US,us/ca/southlaketahoe/2591laketahoeboulevard/-1772991956,38.92664,-119.98495,Izzy's Burger Spa,96150,CA
AV1c0DVia4HuVbed5Zgb,2310 Tienda Dr Ste 200,"Restaurant,Carry-out food,Mexican Restaurants,Mexican,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurants,Take Out Restaurants,Restaurants,Gas and electric grills",Lodi,US,us/ca/lodi/2310tiendadrste200/1143321601,38.1167,-121.3025,Chipotle Mexican Grill,95242,CA
AVweAwZlByjofQCxufVE,400 Geary St,"Restaurant,Burger Joint,Breakfast,Fast Food Restaurant,Fast Food,Chicken,Hamburgers,Restaurants",San Francisco,US,us/ca/sanfrancisco/400gearyst/-230519289,37.7873,-122.4102,Jack in the Box,94102,CA
AVwdw9tz_7pvs4fz9EGe,10740 Foothill Blvd,"Asian Restaurants,Restaurant,Caterers,Chinese Restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants",Rancho Cucamonga,US,us/ca/ranchocucamonga/10740foothillblvd/842330358,34.1072,-117.5708,Tasty Goody Chinese Fast Food,91730,CA
AWmf41zPa4HuVbedo0lO,2454 South Archibald Ave,"Fast Food,Chicken,Restaurants",Ontario,US,us/ca/ontario/2454southarchibaldave/106088,34.0292,-117.5937,KFC,91761,CA
AVweTvF2IN2L1WUf3ymB,3035 Victor Ave,"Pizza,Restaurant delivery service,American restaurants,Italian restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Restaurants,Sandwich Shops",Redding,US,us/ca/redding/3035victorave/-1663286508,40.5631,-122.3395,Shasta Pizza,96002,CA
AVwczx1GkufWRAb5zP0a,2934 Westminster Ave,"Pizza,Restaurant,Food Delivery,Fast Food,Pizza Place,Restaurants",Seal Beach,US,us/ca/sealbeach/2934westminsterave/-1055723171,33.7591,-118.0802,Domino's Pizza,90740,CA
AWqu_wbRQTFama1XoCKE,1280 East Valley Parkway,"Fast Food,Hamburgers",Escondido,US,us/ca/escondido/1280eastvalleyparkway/554191587,33.1313,-117.0659,Carl's Jr.,92027,CA
AVweiLgIByjofQCxzHy_,13971 Harbor Blvd,"Ice Cream Parlors,Carry-out food,Movie theaters,Breakfast,Hot dog restaurants,Hamburger restaurants,Fast Food,Restaurants,Restaurant,Fast Food Restaurant,Coffeehouses,Salads,Fast food restaurants,Hamburgers,Sandwich Shops",Garden Grove,US,us/ca/gardengrove/13971harborblvd/-1161002137,33.7602,-117.9208,McDonald's,92843,CA
AVwcmR6__7pvs4fzw4S4,1175 Lincoln Ave,"Italian Restaurant,Pizza Restaurants,Take Out,Carry-out food,Caterers,Restaurant delivery service,Fast Food,Take Out Restaurants,Banquet Halls & Reception Facilities,Karaoke,Home delivery beer and beverages,Banquet Facilities,Restaurants,Italian Restaurants,Restaurant Menus,Pizza,Restaurant,Family style restaurants,Pizza Place,Catering,Banquet facilities",San Jose,US,us/ca/sanjose/1175lincolnave/330000776,37.3071,-121.9001,Round Table Pizza,95125,CA
AVwc5rmbkufWRAb50O6c,3245A Sierra Rd,"Carry-out food,Take Out,Pizza Restaurants,Restaurant delivery service,Chicken Wings,Food Delivery,Fast Food Restaurants,Home delivery beer and beverages,Restaurants,Pizza Delivery,Pizza,Restaurant,Pizza Place,Concession Stands,Catering",San Jose,US,us/ca/sanjose/3245asierrard/-66712705,37.3994,-121.8483,Pizza Hut,95132,CA
AVwctE-f_7pvs4fzyEJq,15266 Whittier Blvd,"Mexican Restaurant,Restaurant,Carry-out food,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,American restaurants,Mexican restaurants,Fast Food,Restaurants,Tex-Mex",Whittier,US,us/ca/whittier/15266whittierblvd/1550891556,33.9469,-118.0009,Del Taco,90603,CA
AVzoHY8lLD2H7whiXjuZ,2443 W Avenue I,"Restaurant,Burger Joint,Breakfast,Fast Food Restaurant,Fast Food,Chicken,Hamburgers",Lancaster,US,us/ca/lancaster/2443wavenuei/-230519289,34.7045,-118.1746,Jack in the Box,93536,CA
AVzA09yeLD2H7whiWEze,115 N Central Ave,"Carry-out food,Breakfast,Hot dog restaurants,American,Burgers,Hamburger restaurants,Fast Food,Restaurants,Burger Joint,Restaurant,Fast Food Restaurant,Chicken,Fast food restaurants,Hamburgers",Compton,US,us/ca/compton/115ncentralave/-230519289,33.8964,-118.2523,Jack in the Box,90220,CA
AWkUKdMhRxPSIh2RBBdf,4339 E Imperial Highway,"Fast Food,Chicken,Restaurants",Lynwood,US,us/ca/lynwood/4339eimperialhighway/106088,33.9312,-118.1849,KFC,90262,CA
AV52wjqcIxWefVJwpxAN,2711 N Texas St,"Ice Cream Parlors,Carry-out food,Breakfast,Hot dog restaurants,American restaurants,Hamburger restaurants,Fast Food,Restaurants,Frozen Yogurt Shops,Burger Joint,Fast Food Restaurant,Coffeehouses,Salads,Fast food restaurants,Hamburgers,Sandwich Shops",Fairfield,US,us/ca/fairfield/2711ntexasst/-1161002137,38.2789,-122.0355,McDonald's,94533,CA
AVwdftrY_7pvs4fz6c4o,1591 E Monte Vista Ave,"Restaurant,Carry-out food,Mexican Restaurants,Caterers,Tex-mex restaurants,Southwestern restaurants,Take Out Restaurants,Latin American Restaurants,Fast Food Restaurants,Restaurants",Vacaville,US,us/ca/vacaville/1591emontevistaave/-318364702,38.3651,-121.9647,Murillo's Mexican Food,95688,CA
AV1dcpM2RxPSIh2RZZlT,2705 Bell Rd,"Pizza,American Restaurants,Caterers,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Restaurants,Sandwich Shops,Italian Restaurants",Auburn,US,us/ca/auburn/2705bellrd/-1854993944,38.9406,-121.0937,Pizza Express,95603,CA
